Student_Name,Email_ID,Pass_word,College_Name,Hackathon_Preference,Frontend_Skill,Backend_Skill,Communication_Skill,Leadership_Skill
Aditya Sharma,user0@gmail.com,sMRoaFde,Government Engineering College Barton Hill,WebWave Hackathon,5,1,10,2
Aditya Malhotra,user1@gmail.com,yQKYaw4P,College of Engineering Trivandrum (CET),InnovateX Hackathon,5,5,10,6
Rahul Malhotra,user2@gmail.com,lw0ql9lz,Mar Baselios College of Engineering,AI Innovators Hackathon,3,4,4,5
Meera Kulkarni,user3@gmail.com,XgzHXFCb,Mar Baselios College of Engineering,CyberShield Hackathon,4,5,9,1
Divya Malhotra,user4@gmail.com,vIy5dUYL,College of Engineering Trivandrum (CET),CyberShield Hackathon,3,8,6,7
Rahul Patel,user5@gmail.com,EPT95Xs4,LBS Institute of Technology for Women (LBSITW),WebWave Hackathon,9,5,7,8
Karthik Nair,user6@gmail.com,1zKwZwTI,College of Engineering Trivandrum (CET),CyberShield Hackathon,5,9,3,7
Sneha Verma,user7@gmail.com,H91iqbjF,Sree Chitra Thirunal College of Engineering,InnovateX Hackathon,8,1,10,10
Varun Menon,user8@gmail.com,6wdRAt8U,Sree Chitra Thirunal College of Engineering,GreenTech Hackathon,4,8,3,7
Pooja Sharma,user9@gmail.com,r5vCmfbI,Mar Baselios College of Engineering,InnovateX Hackathon,3,6,9,1
Sneha Reddy,user10@gmail.com,2hPqfXWz,Mar Baselios College of Engineering,CyberShield Hackathon,2,2,9,8
Rohan Rao,user11@gmail.com,WiAuUv1W,Government Engineering College Barton Hill,WebWave Hackathon,1,4,10,5
Manoj Verma,user12@gmail.com,7ZWDHxc1,Mar Baselios College of Engineering,GreenTech Hackathon,7,8,10,1
Meera Yadav,user13@gmail.com,kpyvmKAj,College of Engineering Trivandrum (CET),CyberShield Hackathon,8,2,3,10
Aditya Bose,user14@gmail.com,U4Xa7mDw,College of Engineering Trivandrum (CET),CyberShield Hackathon,3,5,1,2
Manoj Gupta,user15@gmail.com,zm82M0uL,LBS Institute of Technology for Women (LBSITW),AI Innovators Hackathon,2,10,2,8
Rohan Kulkarni,user16@gmail.com,Ioxp0ASp,College of Engineering Trivandrum (CET),GreenTech Hackathon,6,1,8,2
Divya Shetty,user17@gmail.com,GuoRrwsM,Sree Chitra Thirunal College of Engineering,CyberShield Hackathon,8,5,9,7
